"PLATFORM_TITLE_ID","REGION","MIXIMUM_VIEWING"
GYK0UvAc4lL23fQEAAABa,MX,11276
GVU2cAAPSJoNJjhsJATt6,SE,11215
GYGT8zAx-rsLDcwEAAAAs,FI,11050
GYCRCkQ3a-F6YbQEAAAAX,MX,10668
GVU2cAAPSJoNJjhsJATt6,DK,10610
GYCVhjQCBs6KfnwEAAAAL,SE,10534
GYV3u-gHh-C9FwgEAAACd,ES,10527
GVU2b9AHpHo7DwvwIAT4i,ES,10396
GXl20QAK1sTC3wwEAAB4I,BR,10392
GYXhKzAbBH7GzIwEAAAJG,NO,10281
GXmAuwAxxXp4_wwEAACh0,PL,10206
GXKN_xQX5csPDwwEAAABj,BR,10147
GXkRjxwjR68PDwwEAABKJ,SE,10051
GYuMoJgadEsLCwgEAAA-1,ES,9784
GYJWmoAFMlMJRhwEAAACy,PL,9726
GYGT8zAx-rsLDcwEAAAAs,NO,9700
GXdMTbQrnTaXCPQEAAA9W,CO,9565
GYT4Euwsme8NtwgEAAABI,SE,9493
GYXhKzAbBH7GzIwEAAAJG,DK,9449
GYyofRQHeuJ6fiQEAAAEy,CO,9433
GXbGBEw3y6pGYoAEAAAVc,CO,9413
GYsYeoAxKH8LCwgEAAAOR,PL,9404
GYC_OsgovbZbDwwEAAAAD,FI,9352
GVU2b9AHpHo7DwvwIAT4i,US,9253
GYXBzKw3n5aJmOwEAAAAE,ES,9244
GYYxBtQFFnmbDBwEAAAAE,ES,9201
GYyofRQHeuJ6fiQEAAAEy,SE,9150
GVU2cAAPSJoNJjhsJATt6,FI,9033
GXl20QAK1sTC3wwEAAB4I,ES,8999
GXyL-rA27qcJ6pQEAAADP,US,8900
GYhrU9g58msJjkAEAAAAb,ES,8897
GYsYeoAxKH8LCwgEAAAOR,SE,8855
GYC_OsgovbZbDwwEAAAAD,SE,8804
GYGTOwAo14Q2xlgEAAAAR,ES,8768
GYGT8zAx-rsLDcwEAAAAs,MX,8740
GXKN_xQX5csPDwwEAAABj,SE,8694
GYVr-Fw8B-IOswwEAAAAC,BR,8689
GYEkLVAeovrHCwgEAAAAW,CO,8686
GYC_OsgovbZbDwwEAAAAD,MX,8579
GXd24ggvmxLPDfgEAAACM,ES,8543
GYGhFzgNeM8PDcgEAAAAJ,NO,8425
GYVVJDQi2jafDwgEAAAAM,ES,8346
GXdMTbQrnTaXCPQEAAA9W,SE,8287
GXyL-rA27qcJ6pQEAAADP,PL,8265
GVU2cAAPSJoNJjhsJATt6,AR,8210
GYXhKzAbBH7GzIwEAAAJG,ES,8207
GX9j4sw88eFy8eAEAAACn,ES,8115
GYVRoxALmfsPCXwEAAAEN,ES,8014
GYyHkNAaRApvDwwEAAAHZ,MX,8008
GXdMTbQrnTaXCPQEAAA9W,US,8002
GXkyElw3j2J4_wwEAAAQa,US,7996
GVU2cAAPSJoNJjhsJATt6,BR,7995
GXkyElw3j2J4_wwEAAAQa,AR,7994
GXbGBEw3y6pGYoAEAAAVc,MX,7987
GYK-wjA1-acLDwgEAAAB6,BR,7953
GWukCJAq-nIuHwwEAAAB4,SE,7940
GXdMTbQrnTaXCPQEAAA9W,MX,7868
GYyofRQHeuJ6fiQEAAAEy,PL,7776
GYGTOwAo14Q2xlgEAAAAR,SE,7737
GXl20QAK1sTC3wwEAAB4I,US,7685
GX-EdhwKKy5rDwwEAAACK,SE,7678
GXkRjxwjR68PDwwEAABKJ,AR,7663
GYGhFzgNeM8PDcgEAAAAJ,PL,7602
GYCRCkQ3a-F6YbQEAAAAX,BR,7593
GYmkDVwXQyLTDRgEAAABr,CO,7593
GX5MHsQzwwIuLwgEAAACp,ES,7534
GXmAuwAxxXp4_wwEAACh0,DK,7485
GVU2cAAPSJoNJjhsJATt6,NO,7404
GWukCJAq-nIuHwwEAAAB4,MX,7359
GYCVhjQCBs6KfnwEAAAAL,BR,7334
GXKN_xQX5csPDwwEAAABj,US,7284
GX-EdhwKKy5rDwwEAAACK,CO,7263
GYGhFzgNeM8PDcgEAAAAJ,DK,7217
GVU2cAAPSJoNJjhsJATt6,US,7191
GYyHkNAaRApvDwwEAAAHZ,CO,7184
